id,src_ip,dst_ip,packets,octets,start_time,start_msec,end_time,end_msec,src_port,dst_port,tcp_flags,prot
1,2463760020,3752951033,1,60,1222173605,985,1222173605,985,4534,22,2,6
2,2463760020,3752951032,1,60,1222173605,985,1222173605,985,1923,22,2,6
3,2463760020,3752951030,1,60,1222173605,985,1222173605,985,3185,22,2,6
4,2463760020,3752951031,1,60,1222173605,985,1222173605,985,2466,22,2,6
5,2463760020,3752951029,1,60,1222173605,985,1222173605,985,3056,22,2,6
6,2463760020,3752951028,1,60,1222173605,985,1222173605,985,4735,22,2,6
7,2463760020,3752951025,1,60,1222173605,985,1222173605,985,3210,22,2,6
8,2463760020,3752951026,1,60,1222173605,985,1222173605,985,2902,22,2,6
9,2463760020,3752951288,1,60,1222173605,985,1222173605,985,4509,22,2,6
10,2463760020,3752951289,1,60,1222173605,985,1222173605,985,3489,22,2,6
11,2463760020,3752951290,1,60,1222173605,985,1222173605,985,3403,22,2,6
12,2463760020,3752951291,1,60,1222173605,985,1222173605,985,1762,22,2,6
13,2463760020,3752951294,1,60,1222173605,985,1222173605,985,1995,22,2,6
14,2463760020,3752951295,1,60,1222173605,985,1222173605,985,3623,22,2,6
15,2463760020,3752951293,1,60,1222173605,985,1222173605,985,2592,22,2,6
16,2463760020,3752951292,1,60,1222173605,985,1222173605,985,3473,22,2,6
17,2463760020,3752951286,1,60,1222173605,985,1222173605,985,2516,22,2,6
18,2463760020,3752951287,1,60,1222173605,985,1222173605,985,2513,22,2,6
19,2463760020,3752951285,1,60,1222173605,985,1222173605,985,2510,22,2,6
20,2463760020,3752951284,1,60,1222173605,985,1222173605,985,3547,22,2,6
21,2463760020,3752951280,1,60,1222173605,985,1222173605,985,2151,22,2,6
22,2463760020,3752951281,1,60,1222173605,985,1222173605,985,4148,22,2,6
23,2463760020,3752951282,1,60,1222173605,985,1222173605,985,1349,22,2,6
24,2463760020,3752951283,1,60,1222173605,985,1222173605,985,1714,22,2,6
25,2463760020,3752951264,1,60,1222173605,985,1222173605,985,1829,22,2,6
26,2463760020,3752951265,1,60,1222173605,985,1222173605,985,1951,22,2,6
27,2463760020,3752951266,1,60,1222173605,985,1222173605,985,2369,22,2,6
28,2463760020,3752951267,1,60,1222173605,985,1222173605,985,2686,22,2,6
29,2463760020,3752951271,1,60,1222173605,985,1222173605,985,2785,22,2,6
30,2463760020,3752951270,1,60,1222173605,985,1222173605,985,1301,22,2,6
31,2463760020,3752951269,1,60,1222173605,985,1222173605,985,3037,22,2,6
32,2463760020,3752951268,1,60,1222173605,985,1222173605,985,2304,22,2,6
33,2463760020,3752951272,1,60,1222173605,985,1222173605,985,2953,22,2,6
34,2463760020,3752951273,1,60,1222173605,985,1222173605,985,3307,22,2,6
35,2463760020,3752951274,1,60,1222173605,985,1222173605,985,2394,22,2,6
36,2463760020,3752951275,1,60,1222173605,985,1222173605,985,3500,22,2,6
37,2463760020,3752951277,1,60,1222173605,985,1222173605,985,2468,22,2,6
38,2463760020,3752951276,1,60,1222173605,985,1222173605,985,1515,22,2,6
39,2463760020,3752951278,1,60,1222173605,985,1222173605,985,2103,22,2,6
40,2463760020,3752951279,1,60,1222173605,985,1222173605,985,4690,22,2,6
41,2463760020,3752951233,1,60,1222173605,985,1222173605,985,3068,22,2,6
42,2463760020,3752951232,1,60,1222173605,985,1222173605,985,2813,22,2,6
43,2463760020,3752951234,1,60,1222173605,985,1222173605,985,1664,22,2,6
44,2463760020,3752951235,1,60,1222173605,985,1222173605,985,2391,22,2,6
45,2463760020,3752951238,1,60,1222173605,985,1222173605,985,3866,22,2,6
46,2463760020,3752951239,1,60,1222173605,985,1222173605,985,1214,22,2,6
47,2463760020,3752951237,1,60,1222173605,985,1222173605,985,3529,22,2,6
48,2463760020,3752951236,1,60,1222173605,985,1222173605,985,2491,22,2,6
49,2463760020,3752951241,1,60,1222173605,985,1222173605,985,4700,22,2,6
50,2463760020,3752951240,1,60,1222173605,985,1222173605,985,3163,22,2,6
51,2463760020,3752951242,1,60,1222173605,985,1222173605,985,4225,22,2,6
52,2463760020,3752951243,1,60,1222173605,985,1222173605,985,2084,22,2,6
53,2463760020,3752951244,1,60,1222173605,985,1222173605,985,1317,22,2,6
